trial_idx,source_vendor,source_model,source_condition,source_repeat_idx,source_label,source_quote,source_quote_sha1,source_quote_valid,ground_truth,judge_vendor,judge_model,raw_output,verdict,format_valid,supports_label
37,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,eligible patients recruited in 138 clinics from 24 countries (aged ≥18 years with histologically or cytologically confirmed advanced non-small-cell lung cancer,dd4a2579bcb6d5baa7eb513d87860f580f708e7d,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
37,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,eligible patients recruited in 138 clinics from 24 countries (aged ≥18 years with histologically or cytologically confirmed advanced non-small-cell lung cancer,dd4a2579bcb6d5baa7eb513d87860f580f708e7d,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
38,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"Eligible patients were male, aged 18 years or older, with histologically confirmed or cytologically confirmed de novo metastatic prostate adenocarcinoma",4dccde99f317d5f36d314601c66701d8accae702,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
38,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"Eligible patients were male, aged 18 years or older, with histologically confirmed or cytologically confirmed de novo metastatic prostate adenocarcinoma",4dccde99f317d5f36d314601c66701d8accae702,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
39,anthropic,claude-opus-4-5-20251101,evidence_required,2,BOTH,adult patients (aged ≥18 years) with histologically confirmed BRAF(V600) mutation-positive unresectable stage IIIC or stage IV melanoma,fcc8b382a999378f1e6c81cc8bc685b7d2fad526,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
39,anthropic,claude-opus-4-5-20251101,evidence_required,3,BOTH,adult patients (aged ≥18 years) with histologically confirmed BRAF(V600) mutation-positive unresectable stage IIIC or stage IV melanoma,fcc8b382a999378f1e6c81cc8bc685b7d2fad526,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
40,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,patients with locoregional renal-cell carcinoma at high risk for tumor recurrence after nephrectomy,219ebaf5950154794a2f340f0970c3ee40bbd79a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
40,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,We sought to determine the efficacy and safety of sunitinib in patients with locoregional renal-cell carcinoma at high risk for tumor recurrence after nephrectomy.,c082bcd6fe87f693cd29a356941c7d8d288f67e6,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
41,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,Standard first-line regimens for patients with metastatic gastroesophageal adenocarcinomas have an approximate 40% objective response rate (ORR).,43c6405e58d7844115495f18c7fbe2aafae3c296,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
41,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,Standard first-line regimens for patients with metastatic gastroesophageal adenocarcinomas have an approximate 40% objective response rate (ORR).,43c6405e58d7844115495f18c7fbe2aafae3c296,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
42,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,1256 patients with resected stage III melanoma were randomly assigned to observation (n=629) or pegylated interferon alfa-2b (n=627),b1c09b3e60339f032a3371c9409dd5cba859d47c,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
42,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,1256 patients with resected stage III melanoma were randomly assigned,35ab9758ff3cbe8aab8a9ca6d7d0aebc9404d81a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
43,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,men who had newly diagnosed clinically localised prostate cancer and who had chosen surgery as their treatment approach,6c7bbb749c23a76c07155510f2a35c4213821cd1,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
43,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,men who had newly diagnosed clinically localised prostate cancer and who had chosen surgery as their treatment approach,6c7bbb749c23a76c07155510f2a35c4213821cd1,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
44,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,We assessed the effects of combined docetaxel and estramustine on relapse in patients with high-risk localised prostate cancer.,786ab75603b505994389571e11eaa12e57c099cc,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
44,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,We assessed the effects of combined docetaxel and estramustine on relapse in patients with high-risk localised prostate cancer.,786ab75603b505994389571e11eaa12e57c099cc,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
45,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,1006 treatment-naive patients diagnosed with advanced metastatic renal cell carcinoma were randomly allocated,02d496a2dd8422ce71898eb8c05bed6bc7046068,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
45,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,1006 treatment-naive patients diagnosed with advanced metastatic renal cell carcinoma were randomly allocated,02d496a2dd8422ce71898eb8c05bed6bc7046068,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
46,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,we recruited patients aged 18 years or older with newly-diagnosed metastatic castration-resistant prostate cancer without neuroendocrine differentiation,d8b422adbc7e21bce8ba462cb2cfd07fe0ae4df0,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
46,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,we recruited patients aged 18 years or older with newly-diagnosed metastatic castration-resistant prostate cancer without neuroendocrine differentiation,d8b422adbc7e21bce8ba462cb2cfd07fe0ae4df0,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
47,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,We randomly assigned 493 patients with resected pancreatic ductal adenocarcinoma to receive a modified FOLFIRINOX regimen,e4721392778786e03d84fcd2855ac39157cedcdd,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
47,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,We randomly assigned 493 patients with resected pancreatic ductal adenocarcinoma to receive a modified FOLFIRINOX regimen,e4721392778786e03d84fcd2855ac39157cedcdd,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
48,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,patients with previously treated metastatic breast cancer,d4d34620582aba440ad57f1a5e1e98bf67366997,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
48,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,two or fewer previous chemotherapy regimens for metastatic breast cancer,8d2244853502618d92c71778dd81ff892a6b294a,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
49,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,"hormone-receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative, axillary node-negative breast cancer",cfbf220f019f4e538d01b925b7d7555d6a0e6e8a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
49,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,"hormone-receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative, axillary node-negative breast cancer",cfbf220f019f4e538d01b925b7d7555d6a0e6e8a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
50,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,we enrolled patients with stage IIIB or IV adenocarcinoma,0825e4d60d1fa4f662bb55c1140ae89e2cce2319,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
50,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,we enrolled patients with stage IIIB or IV adenocarcinoma,0825e4d60d1fa4f662bb55c1140ae89e2cce2319,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
51,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"premenopausal or perimenopausal patients with advanced hormone-receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer",97d6bfead549bd200270e4c195e1f70f5a675d31,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
51,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"premenopausal or perimenopausal patients with advanced hormone-receptor-positive, human epidermal growth factor receptor 2 (HER2)-negative breast cancer",97d6bfead549bd200270e4c195e1f70f5a675d31,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
53,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,adjuvant chemotherapy for operable node-positive breast cancer,d831e475033b14ff9450885da9a3f45addd83004,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
53,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,adjuvant chemotherapy for operable node-positive breast cancer,d831e475033b14ff9450885da9a3f45addd83004,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
54,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,We enrolled patients with stage IV or recurrent NSCLC that was not previously treated with chemotherapy.,c02ea06c108110323e6de9212ef4743b789afcb7,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
54,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,We enrolled patients with stage IV or recurrent NSCLC that was not previously treated with chemotherapy.,c02ea06c108110323e6de9212ef4743b789afcb7,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
56,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,scheduled to receive radiotherapy for prostate cancer,2aff11e016c46ad17f1370f6028d113cc18b8f28,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
56,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,Two hundred forty-two participants with intact erectile function scheduled to receive radiotherapy for prostate cancer were recruited,4dfc3c6bf55043377fadff9f1319f7b1fa5cb037,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
57,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,enrolled 160 patients with radiologically confirmed painful bone metastases,bf827c4b70a3b2c7f466645b23a47ece3ad69f79,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
57,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"This prospective, randomized, single-institution phase 2 noninferiority trial conducted at a tertiary cancer care center enrolled 160 patients with radiologically confirmed painful bone metastases",47914415954e0030186cf36c2cee2a69d12adcbe,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
58,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"Patients aged 18 years or older, with centrally confirmed metastatic triple-negative breast cancer, Eastern Cooperative Oncology Group performance status of 0 or 1, who had received one or two previous systemic treatments for metastatic disease",146630f6cb4e92394cc4d3fde32029546edc2f5d,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
58,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"Patients aged 18 years or older, with centrally confirmed metastatic triple-negative breast cancer",98a8176ee5187d630adb8aeaa485ef5593c3909e,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
59,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,We assessed the efficacy and safety of pertuzumab versus placebo in combination with trastuzumab and chemotherapy in first-line HER2-positive metastatic gastric or gastro-oesophageal junction cancer.,c96be6c17272c3b6a08ee06032afbfaf76e684ab,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
59,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,We assessed the efficacy and safety of pertuzumab versus placebo in combination with trastuzumab and chemotherapy in first-line HER2-positive metastatic gastric or gastro-oesophageal junction cancer.,c96be6c17272c3b6a08ee06032afbfaf76e684ab,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
60,anthropic,claude-opus-4-5-20251101,evidence_required,2,NEITHER,premenopausal and postmenopausal women 35-70 years of age deemed to be at an increased risk of developing breast cancer,eb39c499b2390ac2dd1d4534274471899a2f3445,True,NEITHER,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
60,anthropic,claude-opus-4-5-20251101,evidence_required,3,NEITHER,premenopausal and postmenopausal women 35-70 years of age deemed to be at an increased risk of developing breast cancer,eb39c499b2390ac2dd1d4534274471899a2f3445,True,NEITHER,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
61,anthropic,claude-opus-4-5-20251101,evidence_required,2,NEITHER,patients with symptoms suggestive of colorectal cancer,7885ebd7581b37dd829f169a8a87475b044c38d1,True,NEITHER,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
62,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,"Eligible participants were aged 18 year or older with histologically confirmed squamous cell carcinoma, adenosquamous cell carcinoma, or adenocarcinoma of the cervix (FIGO 2008 stage IB1 disease with nodal involvement, or stage IB2, II, IIIB, or IVA disease)",4d8a53f9ab4779215bbb08f3398f784bae600b5a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
62,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,"Eligible participants were aged 18 year or older with histologically confirmed squamous cell carcinoma, adenosquamous cell carcinoma, or adenocarcinoma of the cervix (FIGO 2008 stage IB1 disease with nodal involvement, or stage IB2, II, IIIB, or IVA disease)",4d8a53f9ab4779215bbb08f3398f784bae600b5a,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
63,anthropic,claude-opus-4-5-20251101,evidence_required,2,BOTH,locally advanced or metastatic EGFR-mutated non-small-cell lung cancer (NSCLC) who had disease progression after receiving EGFR tyrosine-kinase inhibitor therapy,c5e339c43af4750dbfb418920c5f2588026bbffe,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
63,anthropic,claude-opus-4-5-20251101,evidence_required,3,BOTH,patients with locally advanced or metastatic EGFR-mutated non-small-cell lung cancer (NSCLC) who had disease progression after receiving EGFR tyrosine-kinase inhibitor therapy,c6ea67fb9b85a8261880f550b0ffcca8ee4134e5,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
64,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,patients with advanced renal cell carcinoma and no previous systemic therapy,27873bec3229f421e7a00bd2e3a69d89aa463abb,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
64,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,patients with advanced renal cell carcinoma and no previous systemic therapy,27873bec3229f421e7a00bd2e3a69d89aa463abb,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
65,anthropic,claude-opus-4-5-20251101,evidence_required,2,BOTH,"Eligible patients had newly diagnosed, intermediate-risk neuroblastoma without MYCN amplification; these patients included infants (<365 days of age) who had stage 3 or 4 disease, children (≥365 days of age) who had stage 3 tumors with favorable histopathological features, and infants who had stage 4S disease with a diploid DNA index or unfavorable histopathological features.",e2f405aa914f41ce9361dcd11d7d73d45a94569d,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
65,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,"Eligible patients had newly diagnosed, intermediate-risk neuroblastoma without MYCN amplification; these patients included infants (<365 days of age) who had stage 3 or 4 disease, children (≥365 days of age) who had stage 3 tumors with favorable histopathological features, and infants who had stage 4S disease with a diploid DNA index or unfavorable histopathological features.",e2f405aa914f41ce9361dcd11d7d73d45a94569d,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
66,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,"Patients with stage II to IV epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer were eligible for enrolment",92b54c29dfeb350fb3e61b31231bb4b6ae50a08e,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
66,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,"Patients with stage II to IV epithelial ovarian cancer, fallopian tube cancer, or primary peritoneal cancer were eligible for enrolment",92b54c29dfeb350fb3e61b31231bb4b6ae50a08e,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
67,anthropic,claude-opus-4-5-20251101,evidence_required,2,BOTH,"Patients with unresectable stage IIIc-IV, BRAFV600 mutation-positive melanoma were randomly assigned",0d6ba56beb6830ccb551ce364ac1ff2caf808724,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
67,anthropic,claude-opus-4-5-20251101,evidence_required,3,BOTH,"Patients with unresectable stage IIIc-IV, BRAFV600 mutation-positive melanoma were randomly assigned",0d6ba56beb6830ccb551ce364ac1ff2caf808724,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
68,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,patients aged 18 years or older with unresectable hepatocellular carcinoma,dafec26da4015cf84651f3e0d1d6c58a92a0471e,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
68,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,patients aged 18 years or older with unresectable hepatocellular carcinoma,dafec26da4015cf84651f3e0d1d6c58a92a0471e,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
69,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,we randomly assigned previously untreated patients in East Asia who had advanced pulmonary adenocarcinoma,96d38b1bcb1aa5ffc0fdc50e988558ea509561ce,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
69,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,we randomly assigned previously untreated patients in East Asia who had advanced pulmonary adenocarcinoma,96d38b1bcb1aa5ffc0fdc50e988558ea509561ce,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
70,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"Randomization was stratified based on site of metastasis (visceral, bone only, or other) and resistance to prior ET (primary vs secondary).",e18234726dba6d1cc4bc57a45cb3ece481ff1ab1,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
70,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"Randomization was stratified based on site of metastasis (visceral, bone only, or other)",6ea62c972b956e36c633136528c0a1dd84c8e97a,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
71,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"Eligible patients were aged 18 years or older, had metastatic castration-resistant prostate cancer, and had previously received docetaxel and up to one additional line of previous chemotherapy.",f14077a2fa45544a20572bd783f5cc71712c274f,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
71,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"Eligible patients were aged 18 years or older, had metastatic castration-resistant prostate cancer, and had previously received docetaxel and up to one additional line of previous chemotherapy.",f14077a2fa45544a20572bd783f5cc71712c274f,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
72,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,patients who had resected stage III melanoma with BRAF V600E or V600K mutations,12ccaf4f82680f37fe37be42eec6ed337dfc63bc,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
72,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,patients with resected stage III melanoma with BRAF V600E or V600K mutations,579a7383ae80b1ae9fe530ed163c8b19a1c1d3ec,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
73,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,T1-T2N0-2 p16-positive OPSCC,e13bde1e6308ed1b899f8f16b6d26c3a5e5a66ca,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
73,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,enrolled patients with T1-T2N0-2 p16-positive OPSCC,64ce7a66da3b9350c6ec61deff324c165f4fd575,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
74,anthropic,claude-opus-4-5-20251101,evidence_required,2,BOTH,adult patients with histologically confirmed locally advanced or metastatic adrenocortical carcinoma were recruited at clinical sites in nine countries,bf89fe51434b0d644946853de71f676f18751fd0,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
74,anthropic,claude-opus-4-5-20251101,evidence_required,3,BOTH,adult patients with histologically confirmed locally advanced or metastatic adrenocortical carcinoma were recruited,0298c4ebd14147a2c51e15d5aff9edd861061538,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
75,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"We randomly assigned 229 patients who had well-differentiated, metastatic midgut neuroendocrine tumors",705c0db343db93f7def5ac17051a9587b6be6529,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
75,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"We randomly assigned 229 patients who had well-differentiated, metastatic midgut neuroendocrine tumors",705c0db343db93f7def5ac17051a9587b6be6529,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
76,anthropic,claude-opus-4-5-20251101,evidence_required,2,NEITHER,among 5999 participants aged 50 to 64 years who were receiving primary care in Parkland Health and Hospital System and were not up to date with CRC screenings,a84a329d9800aee76b206256d580ce80ed8d7b5b,True,NEITHER,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
76,anthropic,claude-opus-4-5-20251101,evidence_required,3,NEITHER,"Among persons aged 50 to 64 years receiving primary care at a safety-net institution, mailed outreach invitations offering FIT or colonoscopy compared with usual care increased the proportion completing CRC screening process within 3 years.",08f34ef91e10d3fff4c15c6ee368a53718cecf8c,True,NEITHER,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
77,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,Participants (N = 516) were low-level community or household ambulators with stage IIIC or IV solid or hematologic cancer.,2f473300ee2ed5d6e679dd22a6fb62b3b64bf27b,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
77,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,Participants (N = 516) were low-level community or household ambulators with stage IIIC or IV solid or hematologic cancer.,2f473300ee2ed5d6e679dd22a6fb62b3b64bf27b,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
78,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"we randomly assigned patients (in a 1:1 ratio) with metastatic biliary-tract cancer (cholangiocarcinoma, gallbladder cancer, or ampulla of Vater cancer)",20f35dbfe1c2d4338016708f34248860a1dba4ce,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
78,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"we randomly assigned patients (in a 1:1 ratio) with metastatic biliary-tract cancer (cholangiocarcinoma, gallbladder cancer, or ampulla of Vater cancer)",20f35dbfe1c2d4338016708f34248860a1dba4ce,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
79,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,"patients with clear-cell renal-cell carcinoma who were at high risk for recurrence after nephrectomy, with or without metastasectomy",0405aa34a2137529c9041abdac3e50222c00c304,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
79,anthropic,claude-opus-4-5-20251101,evidence_required,3,LOCALIZED,"patients with clear-cell renal-cell carcinoma who were at high risk for recurrence after nephrectomy, with or without metastasectomy",0405aa34a2137529c9041abdac3e50222c00c304,True,BOTH,gemini,gemini-3-flash-preview,VERDICT: NOT_SUPPORTED,NOT_SUPPORTED,True,False
80,anthropic,claude-opus-4-5-20251101,evidence_required,2,METASTATIC,"In the AFFIRM trial of patients with metastatic castration-resistant prostate cancer after progression with docetaxel treatment, enzalutamide significantly increased overall survival compared with placebo.",c34877d78c6b666cca66be8b0ea0be09064ed5e7,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
80,anthropic,claude-opus-4-5-20251101,evidence_required,3,METASTATIC,"In the AFFIRM trial of patients with metastatic castration-resistant prostate cancer after progression with docetaxel treatment, enzalutamide significantly increased overall survival compared with placebo.",c34877d78c6b666cca66be8b0ea0be09064ed5e7,True,METASTATIC,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
81,anthropic,claude-opus-4-5-20251101,evidence_required,2,LOCALIZED,women are eligible for participation if they have stage II or III breast cancer with a tumor 2.5 cm or larger in diameter,160152c25a7ab010da6980b7b21b6fc4632b87bf,True,LOCALIZED,gemini,gemini-3-flash-preview,VERDICT: SUPPORTED,SUPPORTED,True,True
